No.,Manufacturer,Product Name,Source(Link),Category,Type
24,Roku,"Roku Express | HD Roku Streaming Device with Standard Remote (no TV controls), Free & Live TV",https://a.co/d/0EojjpR,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
25,Roku,"Roku Streaming Stick 4K | Portable Roku Streaming Device 4K/HDR/Dolby Vision, Roku Voice Remote, Free & Live TV",https://a.co/d/3I3bDqT,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
26,Roku,"Roku Ultra | The Ultimate Streaming Device 4K/HDR/Dolby VisioFtmos, Rechargeable Roku Voice Remote Pro, Ethernet Port, Hands-Free Controls, Lost Remote Finder, Free & Live TV",https://a.co/d/113PIO6,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
27,Roku,Roku 3920RW-SW Premiere | 4K/HDR Streaming Media Player Wi-Fi Enabled with Premium High Speed HDMI Cable and Simple Remote,https://a.co/d/dAVRPgk,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
28,NVIDIA,"NVIDIA SHIELD Android TV Streaming Media Player; 4K HDR, live sports, Dolby Vision-Atmos, AI-enhanced upscaling, GeForce NOW cloud gaming, Google Assistant Built-In, Works with Alexa",https://a.co/d/3Eswtaq,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
29,NVIDIA,NVIDIA Shield TV Pro,https://www.nvidia.com/en-us/shield/shield-tv/,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
30,NVIDIA,"NVIDIA SHIELD Android TV Pro Streaming Media Player; 4K HDR movies, live sports, Dolby Vision-Atmos, AI-enhanced upscaling, GeForce NOW cloud gaming, Google Assistant Built-In, Works with Alexa",https://a.co/d/2APeo6Z,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
31,Mediabox,Mediabox - Maverick 4K Netflix & Google Certified Android TV Box with Google Assistant - 4K Ultra HD Resolution & Dolby Audio,https://a.co/d/b8KbEHC,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
32,ETROSUN,"Replacement AMZ Alexa Voice Remote Control Pro Work for Most AMZ TV Streaming Media Player/AMZ Smart TVs, Including Remote Finder, tv Controls, Backlit Buttons and Multiple Functions in one",https://a.co/d/6Hi8YY1,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
33,Amazon,"Amazon Fire TV Stick Lite, free and live TV, Alexa Voice Remote Lite, smart home controls, HD streaming",https://a.co/d/5N9Q0FG,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
34,Amazon,"Certified Refurbished Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",https://a.co/d/05lIhuP,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
35,Amazon,"Certified Refurbished Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD",https://a.co/d/hPkWjqc,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
36,Amazon,"All-new Amazon Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free & live TV without cable or satellite",https://a.co/d/20bh5E5,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
37,Amazon,"Amazon Fire TV Stick, HD, sharp picture quality, fast streaming, free & live TV, Alexa Voice Remote with TV controls",https://a.co/d/aoqw4SZ,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
38,Amazon,"Amazon Fire TV Cube, Hands-free streaming device with Alexa, Wi-Fi 6E, 4K Ultra HD
Brand: Amazon",https://a.co/d/8QyK3uZ,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
39,Amazon,"All-new Amazon Fire TV Stick 4K streaming device, more than 1.5 million movies and TV episodes, supports Wi-Fi 6, watch free & live TV",https://a.co/d/fPAcLDv,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
40,Amazon,Amazon Fire TV Cube,https://www.amazon.com/Fire-TV-Cube/dp/B07KGVB6D6,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
41,Amazon,Amazon Fire TV Stick (3rd Generation),https://www.amazon.com/fire-tv-stick-with-3rd-gen-alexa-voice-remote/dp/B08C1W5N87,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
42,WiiM,"WiiM Pro Plus AirPlay 2 Receiver, Chromecast Audio, Multiroom Streamer with Premium AKM DAC, Voice Remote, Works with Alexa/Siri/Google, Stream Hi-Res Audio from Spotify, Amazon Music, Tidal and More",https://a.co/d/6dfZfWH,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
43,Google,"Google Chromecast with Google TV (4K)- Streaming Stick Entertainment with Voice Search - Watch Movies, Shows, and Live TV in 4K HDR - Snow",https://a.co/d/auRE3zB,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
44,Google,Chromecast with Google TV,https://store.google.com/us/product/chromecast_google_tv?hl=en-US,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
45,Apple,Apple TV 4K,https://www.apple.com/apple-tv-4k/,Audio & Visual,Media & Entertainment Systems/Media Streaming Device
46,Samsung,SAMSUNG 85-Inch Class QLED Q950T Series - 8K UHD Direct Full Array Quantum HDR 32X Smart TV with Alexa Built-in (QN85Q950TSFXZA),https://a.co/d/fnnMyY2,Audio & Visual,Media & Entertainment Systems/ Smart TV
47,Samsung,"85"" Class Q80T QLED 4K UHD HDR Smart TV (2020) QN85Q80TAFXZA",https://www.samsung.com/us/tvs/qled-tv/q80t-85-inch-qled-4k-smart-tv-qn85q80tafxza/,Audio & Visual,Media & Entertainment Systems/ Smart TV
48,Samsung,SAMSUNG Flat 75-Inch 4K 8 Series UHD Smart TV with HDR and Alexa Compatibility - 2019 Model,https://a.co/d/e5nQrPV,Audio & Visual,Media & Entertainment Systems/ Smart TV
49,Samsung,"Samsung 75"" Q90R QLED 4K Smart TV 2019",https://www.samsung.com/latin_en/tvs/qled-tv/q90r-75-inch-qled-4k-smart-tv-qn75q90rafxza/,Audio & Visual,Media & Entertainment Systems/ Smart TV
50,Samsung,"SAMSUNG 70-Inch Class QLED Q60A Series - 4K UHD Dual LED Quantum HDR Smart TV with Alexa Built-in (QN70Q60AAFXZA, 2021 Model)",https://a.co/d/bfO818b,Audio & Visual,Media & Entertainment Systems/ Smart TV
51,Samsung,"SAMSUNG Q90 Series 65-Inch Smart TV, QLED 4K UHD with HDR and Alexa compatibility 2019 model",https://a.co/d/1FIdWlD,Audio & Visual,Media & Entertainment Systems/ Smart TV
52,Samsung,"SAMSUNG 55-inch Class QLED Q60T Series - 4K UHD Dual LED Quantum HDR Smart TV with Alexa Built-in (QN55Q60TAFXZA, 2020 Model)",https://a.co/d/gfnA8AH,Audio & Visual,Media & Entertainment Systems/ Smart TV
53,YABER,"Projector 4K with Android TV, YABER K2s 800 ANSI WiFi 6 Bluetooth Projector, Sound by JBL, Dolby Audio, Auto Focus & Keystone, Native 1080P 4K Supported Outdoor Movie Projector with Netflix 7000+ Apps",https://a.co/d/6XKUD8O,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Projectors
54,ViewSonic,ViewSonic X10-4K True 4K UHD Short Throw LED Portable Smart Home Theater Projector Compatible with Amazon Alexa and Google Assistant (2019 Model),https://a.co/d/cVQEeAD,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Projectors
55,Anker,Anker Nebula Cosmos Max 4K UHD Smart Projector,https://www.anker.com/,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Projectors
56,LG,"LG CineBeam UHD 4K Projector HU70LA - DLP Home Theater Smart Projector with Alexa Built-In, White",https://a.co/d/jlZYgxe,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Projectors
57,LG,"LG HU85LA Ultra Short Throw 4K UHD Laser Smart Home Theater Cinebeam Projector with Alexa built-in, LG Thinq AI, and LG webOS Lite Smart TV",https://a.co/d/7hVzyRi,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Projectors
58,SAMSUNG,"SAMSUNG 30"" - 100"" The Freestyle FHD HDR Smart Portable Projector for Indoor and Outdoor Home Theater, Big Screen Experience with Premium 360 Sound w/ Alexa Built-In (SP-LSP3BLAXZA)",https://a.co/d/9sTDMqv,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Projectors
59,SAMSUNG,"130"" Class The Premiere LSP9T 4K Smart Triple Laser Projector",https://www.samsung.com/us/televisions-home-theater/tvs/4k-laser-projectors/130-the-premiere-4k-uhd-hdr-smart-tv-2020-sp-lsp9tfaxza/,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Projectors
60,Optoma,"Optoma UHD51A 4K UHD Smart Home Theater Projector, Works with Amazon Alexa & Google Assistant",https://a.co/d/fhmHjd7,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Projectors
61,Optoma,Optoma UHZ50 Smart 4K UHD Laser Home Theater Projector | 3000 Lumens | HDR Adjustment Options | Cinematic Color | Flexible Installation 1.3x Zoom & Vertical Lens Shift | Works with Alexa & Google,https://a.co/d/hQZWihq,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Projectors
62,Sonos ,Sonos Beam Smart Soundbar(Gen2),https://www.sonos.com/en-us/home,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Soundbar
63,Bose ,Bose Soundbar 700,https://www.bose.com/home,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Soundbar
64,Samsung,Samsung HW-Q70T 3.1.2ch Soundbar with Dolby Atmos,https://www.samsung.com/us/,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Soundbar
65,Polk Audio,Polk Audio Command Bar,https://www.polkaudio.com/en-us/product/archive/archive-sound-bars/command-bar/112709.html,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Soundbar
66,VIZIO,VIZIO SB3651-E6B 5.1 Soundbar Home Theater System,https://www.vizio.com/en/home,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Soundbar
67,Samsung ,Samsung Sound+ HW-MS6500 Wireless Curved Smart Soundbar,https://www.samsung.com/uk/audio-devices/soundbar/3-ch-soundbar-titanium-gray-hw-ms6500-xu/,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Soundbar
68,Samsung ,Samsung 3.1.2Ch Soundbar HW-Q70R,https://www.samsung.com/latin_eFudio-devices/soundbar/3-1-2-ch-soundbar-dolby-atmos-black-hw-q70r-zp/,Audio & Visual,Media & Entertainment Systems/Smart Home Theater Systems/Smart Soundbar
69,Aeotec,"Aeotec SmartThings Button, Zigbee Remote Control, Works with Smart Home Hub",https://a.co/d/0nvav2l,Home Control & Connectivity,Smart Connectivity/ Smart Universal Remotes
70,Aqara,"Aqara Cube T1 Pro, Requires AQARA ZIGBEE 3.0 HUB, 6 Sides to Control Different Scenes and Diverse Actions to Control Smart Home Devices, Supports Homekit, Alexa and IFTTT",https://a.co/d/eHMSmQ9,Home Control & Connectivity,Smart Connectivity/ Smart Universal Remotes
71,SENCKIT,"HomeKit ZigBee Hub Gateway: Smart Home Hub Zigbee Gateway, Voice & APP Remote Control, Intelligent Bridge Compatible with Apple HomeKit, Alexa ,Google Home - Wired",https://a.co/d/5FDXgjr,Home Control & Connectivity,Smart Connectivity/ Smart Universal Remotes
72,Generic,"Generic Smart Button with Matter & Thread Support Works with Apple Home/HomeKit & Samsung SmartThings, TSB3194-GN",https://a.co/d/5vnO63Q,Home Control & Connectivity,Smart Connectivity/ Smart Button
73,Aqara ,"Aqara Smart Light Switch (with Neutral, Double Rocker) Plus Aqara Wireless Mini Switch, Requires AQARA HUB, Zigbee Connection, Remote Control and Set Timer for Home Automation",https://a.co/d/d4mNh5u,Home Control & Connectivity,Smart Connectivity/ Smart Button
74,Aqara ,"Aqara Wireless Mini Switch, Requires AQARA HUB, Zigbee Connection, Versatile 3-Way Control Button for Smart Home Devices, Compatible with Apple HomeKit, Works with IFTTT",https://a.co/d/2ak0agO,Home Control & Connectivity,Smart Connectivity/ Smart Button
75,Onvis,"Onvis Smart Button, 5-Keys Smart Switch, Scene Controller, Compatible with Apple HomeKit, Automatically Trigger Accessories & Scenes-Thread (iOS 17.4 or Later is Required)
Visit the ONVIS Store",https://a.co/d/9NJfrYn,Home Control & Connectivity,Smart Connectivity/ Smart Button
76,YOLINK,"YOLINK FlexFob Programmable 4-Button Smart Fob - Device & Scene Control, Trigger Alexa & IFTTT, Home Assistant, LoRa Extreme Long (up to 1/4 Mile Open-air) Range (Hub Required for Full Functionality)",https://a.co/d/12TanT9,Home Control & Connectivity,Smart Connectivity/ Smart Button
77,MOESGo,"MOES Tuya Hub Link Fingerbot to Wi-Fi (Support 2.4GHz) Compatible with Alexa, Google Home, IFTTT and Timmer Control, One Gateway Can Connect Multiple Fingerbots",https://a.co/d/e41t7Kl,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
78,Aeotec,"Aeotec Smart Home Hub, Works as a SmartThings Hub, Z-Wave, Zigbee, Matter Gateway, Compatible with Alexa, Google Assistant, WiFi",https://a.co/d/aDraONr,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
79,Aqara,"Aqara Hub M1S Gen 2, Smart Home Bridge for Alarm System (2.4 GHz Wi-Fi Required, Not Support Wi-Fi 6), Remote Monitor and Control, Home Automation, Supports Apple HomeKit, Alexa, Google and IFTTT",https://a.co/d/dvdnhOs,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
80,Aqara,"Aqara Smart Hub M2 (2.4 GHz Wi-Fi Required), Smart Home Bridge for Alarm System, IR Remote Control, Home Automation, Supports Alexa, Google Assistant, Apple HomeKit and IFTTT",https://a.co/d/5ott9YG,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
81,Aqara,"Aqara Smart Hub M3 for Home Automation, Matter Controller, Thread Border Router, Features Zigbee, Bluetooth, Wi-Fi, PoE, IR, Supports Alexa, Apple HomeKit, SmartThings, IFTTT",https://a.co/d/9FaucA6,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
82,Philips Hue,Philips HUE HomeKit Upgrade Bridge (for Current HUE Bridge Users),https://www.apple.com/shop/product/HJE22VC/A/philips-hue-homekit-upgrade-bridge-for-current-hue-bridge-users?fnode=c57ba0235dd3ac78558a573b9da89902b76b8ce5f7ef67f73644a37dd6d3471697a8103b7827bb89a9e01028afe9177f006ec03de5ba17edc6e6d97e79cc4e5ccc43488419f4bf4a6678d100d7af467dd2eba8d522bd652b473dc8c140e70d4bd9b26368e7ce5d237cf7e062e3fac66a&fs=f%3Dhomebridge%26fh%3D482b%252B49fd,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
83,Philips Hue,"Philips Hue Bridge - Unlock the Full Potential of Hue - Multi-Room and Out-of-Home Control - Create Automations and Zones - Secure, Stable Connection Won't Strain Your Wi-Fi - Works with Voice, Matter",https://a.co/d/58oTYKH,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
84,Samsung ,"SAMSUNG SmartThings Station with Power Adapter, 15W Super Fast Wireless Charger, Smart Home Hub, 2023, EP-P9500TBEGUS, Black",https://a.co/d/2TYZHmq,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
85,Samsung ,"SAMSUNG STH-ETH-200 SmartThings Hub, White",https://a.co/d/9Act9a6,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
86,Samsung ,"SAMSUNG GP-U999SJVLGDA 3rd Generation SmartThings Hub, White, 720p ,Motion Only",https://a.co/d/49i2c87,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
87,Hubitat Inc,Hubitat Elevation,https://hubitat.com/,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
88,Wink,Wink Hub 2,https://www.wink.com/,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
89,Logitech,Logitech Harmony Hub,https://www.myharmony.com/en-us/,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
90,Home Assistant Community,Home Assistant Running on Raspberry Pi,https://www.home-assistant.io/,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
91,Ezlo,"Ezlo Plus Smart Home Hub with Zigbee & Z-Wave. Works with Wi-Fi Devices Associated with Amazon Alexa Devices & Google Assistant to Control Smart Locks, Smart Lights, Smart Switch and CCTV Cameras",https://a.co/d/emQ0vbw,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub
92,Amazon,"Echo Studio | Our best-sounding smart speaker ever - With Dolby Atmos, spatial audio processing technology, and Alexa | Charcoal",https://a.co/d/dsyCllN,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub& Smart Speaker
93,Amazon,"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",https://a.co/d/hq9yV8H,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub& Smart Speaker
94,Google (Nest),Google Nest Hub Max,https://store.google.com/product/google_nest_hub_max?e=SharedFeatureEnablePolarisNavTest%3A%3ALaunch&hl=en-US&utm_source=google-home-rhea&utm_medium=referral&utm_content=shop-featured-devices_more-entertainment-devices_Nest%20Hub%20Max,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub& Smart Speaker & Smart Display
95,Google (Nest),Google Nest Hub (2nd gen),https://store.google.com/product/nest_hub_2nd_gen?e=SharedFeatureEnablePolarisNavTest%3A%3ALaunch&hl=en-US&utm_source=google-home-rhea&utm_medium=referral&utm_content=shop-featured-devices_more-entertainment-devices_Nest%20Hub%20(2nd%20gen),Home Control & Connectivity,Smart Connectivity/ Smart Home Hub& Smart Speaker & Smart Display
96,Google,Google Nest Hub (formerly Google Home Hub),https://store.google.com/us/product/nest_hub_2nd_gen?hl=en-US,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub& Smart Speaker & Smart Display
97,Amazon,"Amazon Echo Show 15 | Full HD 15.6"" smart display with Alexa and Fire TV built in | Remote included",https://a.co/d/eS5ok84,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub& Smart Speaker & Smart Display
98,Amazon,"Amazon Echo Show 10 (3rd Gen) | HD smart display with premium sound, motion and Alexa | Charcoal",https://a.co/d/9OXYGho,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub& Smart Speaker & Smart Display
99,Amazon,"Amazon All-new Echo Show 8 (3rd Gen, 2023 release) | With Spatial Audio, Smart Home Hub, and Alexa | Charcoal",https://a.co/d/itPNAfj,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub& Smart Speaker & Smart Display
100,Amazon,"Amazon Echo Show 8 (2nd Gen, 2021 release) | HD smart display with Alexa and 13 MP camera | Glacier White | with Wyze Cam V3 bundle",https://a.co/d/1iwIKpr,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub& Smart Speaker & Smart Display
101,Amazon,"Echo Show 5 (3rd Gen, 2023 release) | Smart display with 2x the bass and clearer sound | Glacier White",https://a.co/d/j1XORGJ,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub& Smart Speaker & Smart Display
102,Amazon,Introducing Echo Hub | 8” smart home control panel with Alexa | Compatible with thousands of devices,https://a.co/d/3LDjZFe,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub& Smart Speaker & Smart Display
103,Amazon,"Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Deep Sea Blue",https://a.co/d/auee763,Home Control & Connectivity,Smart Connectivity/ Smart Home Hub& Smart Speaker & Smart Display
104,Linksys,Linksys Velop AX4200 WiFi 6 Mesh System,https://www.apple.com/shop/product/HPN22LL/A/linksys-velop-ax4200-wifi-6-mesh-system?fnode=e603a69b246689a86596de52c7809417f6fade2f8912002d0714053e3cd22fbf7f4f84b07f2898528ca4861c73f7b3a67bbc295fe334e8436ddc8fb16f03485f5208c3d8e7ce9746dda4fba3e2a4fa27bc033092b1f52b0a1bdc0a86b843d6ec43cf5b882d8c2b43cf4eddf48a98e51b&fs=f%3Dwifirouter%26fh%3D482b%252B466b,Home Control & Connectivity,Smart Connectivity/ Smart Mesh Wi-Fi System
105,AmpliFi,AmpliFi Alien Router,https://www.apple.com/shop/product/HQ0N2LL/A/amplifi-alien-router?fnode=840780b7498904a6dfb546af0719f9672d35b43c26357212cf98e33077747df885ed34068f48a8d63fd728077ab087dffecd083b8aab1f1edb9c2b0f67d90842df94dc8b0f09e83493836dadeb1a662064094bc40d0ca13f70f452c7964856e5a68c4d21b936c3045e84a2cfe3c8c9a2&fs=f%3Dwifirouter%26fh%3D482b%252B466b,Home Control & Connectivity,Smart Connectivity/ Smart Mesh Wi-Fi System
106,AmpliFi,AmpliFi Alien Router and MeshPoint Range Extender,https://www.apple.com/shop/product/HQ0P2LL/A/amplifi-alien-router-and-meshpoint-range-extender?fnode=840780b7498904a6dfb546af0719f9672d35b43c26357212cf98e33077747df885ed34068f48a8d63fd728077ab087dffecd083b8aab1f1edb9c2b0f67d90842df94dc8b0f09e83493836dadeb1a662064094bc40d0ca13f70f452c7964856e5a68c4d21b936c3045e84a2cfe3c8c9a2&fs=f%3Dwifirouter%26fh%3D482b%252B466b,Home Control & Connectivity,Smart Connectivity/ Smart Mesh Wi-Fi System
107,Aeotec,"Aeotec Smart Home Hub, Works as a SmartThings Hub, Z-Wave, Zigbee, Matter Gateway, Compatible with Alexa, Google Assistant, WiFi",https://a.co/d/4caFHG1,Home Control & Connectivity,Smart Connectivity/ Smart Mesh Wi-Fi System
108,Amazon,Amazon eero mesh WiFi router,https://a.co/d/5OgEAJc,Home Control & Connectivity,Smart Connectivity/ Smart Mesh Wi-Fi System
109,Amazon,Amazon eero mesh WiFi system – router replacement for whole-home coverage (3-pack),https://a.co/d/d7s01QT,Home Control & Connectivity,Smart Connectivity/ Smart Mesh Wi-Fi System
110,Amazon,"Amazon eero 6 mesh Wi-Fi system | Supports speeds up to 500 mbps | Connect to Alexa | Coverage up to 3,000 sq. ft. | 2-pack, one router + one extender, 2020 release",https://a.co/d/3s4cmUf,Home Control & Connectivity,Smart Connectivity/ Smart Mesh Wi-Fi System
111,TP-Link,"TP-Link Deco WiFi 6 Mesh System(Deco X20) - Covers up to 5800 Sq.Ft. , Replaces Wireless Routers and Extenders(3-Pack, 6 Ethernet Ports in total, supports Wired Ethernet Backhaul)",https://a.co/d/dO5Hfuz,Home Control & Connectivity,Smart Connectivity/ Smart Mesh Wi-Fi System
112,TP-Link,"TP-Link Deco Whole Home Mesh WiFi System – Up to 5,500 Sq.ft. Coverage, WiFi Router/Extender Replacement, Gigabit Ports, Seamless Roaming, Parental Controls, Works with Alexa(Deco M4 3-Pack)",https://a.co/d/jdCcFx2,Home Control & Connectivity,Smart Connectivity/ Smart Mesh Wi-Fi System
113,TP-Link,TP-Link Deco AXE5400 Tri-Band WiFi 6E Mesh System (Deco XE75),https://us.store.tp-link.com/collections/mesh-wifi/products/deco-xe75-axe5400-tri-band-mesh-wi-fi-6e-system-3-pack,Home Control & Connectivity,Smart Connectivity/ Smart Mesh Wi-Fi System
